epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7549,1.75431,2.67111,1.2716,0.17658,0.0964,0.01016,0.00297,2.51746,inf,1.79783,0.00328125,0.00328125,0.0704687
2,97.3713,1.5803,1.8009,1.1903,0.07544,0.36221,0.08494,0.03676,1.77082,inf,1.489,0.00657093,0.00657093,0.0404251
3,131.656,1.57897,1.71099,1.2102,0.36067,0.10163,0.07738,0.03459,1.968,4.85078,1.62885,0.0098166,0.0098166,0.0103374
4,165.781,1.55931,1.63293,1.20143,0.39924,0.36483,0.31499,0.14545,1.70963,3.05782,1.31846,0.009802,0.009802,0.009802
5,199.109,1.52069,1.55516,1.1836,0.51049,0.27595,0.29592,0.15592,1.66045,1.86289,1.26258,0.009736,0.009736,0.009736
6,232.875,1.49724,1.50132,1.17368,0.51497,0.31496,0.34191,0.14783,1.86384,1.90231,1.33568,0.00967,0.00967,0.00967
7,266.593,1.48029,1.45518,1.16432,0.70873,0.46652,0.51883,0.27735,1.50789,1.30993,1.21787,0.009604,0.009604,0.009604
8,300.085,1.48824,1.44486,1.16716,0.53416,0.44895,0.45264,0.21799,1.71867,1.59528,1.2942,0.009538,0.009538,0.009538
9,333.844,1.47469,1.42625,1.16858,0.54751,0.32866,0.40025,0.20224,1.69221,1.63863,1.35365,0.009472,0.009472,0.009472
10,367.242,1.4644,1.39298,1.15864,0.60351,0.57193,0.54123,0.27489,1.58857,1.72814,1.22619,0.009406,0.009406,0.009406
11,400.716,1.4712,1.39324,1.16521,0.53639,0.38388,0.44362,0.23663,1.55727,1.40396,1.22268,0.00934,0.00934,0.00934
12,434.016,1.44135,1.33176,1.14857,0.77497,0.47952,0.5321,0.29473,1.48489,1.21308,1.17915,0.009274,0.009274,0.009274
13,467.587,1.44949,1.35551,1.15298,0.62516,0.4959,0.52755,0.25709,1.6236,1.27669,1.2374,0.009208,0.009208,0.009208
14,500.962,1.43821,1.33464,1.14715,0.68603,0.50507,0.58614,0.32882,1.45453,1.16641,1.15175,0.009142,0.009142,0.009142
15,534.717,1.4365,1.31172,1.14681,0.74814,0.52118,0.59349,0.33467,1.4118,1.17177,1.14655,0.009076,0.009076,0.009076
16,568.046,1.43627,1.29868,1.1432,0.65991,0.54958,0.56911,0.28779,1.56281,1.16285,1.19788,0.00901,0.00901,0.00901
17,601.407,1.43357,1.31398,1.14713,0.66522,0.53648,0.58226,0.3108,1.47848,1.08903,1.21368,0.008944,0.008944,0.008944
18,635.181,1.44301,1.30174,1.1475,0.69704,0.49117,0.56397,0.31309,1.47555,1.18325,1.16819,0.008878,0.008878,0.008878
19,668.592,1.43638,1.30436,1.14413,0.67725,0.53931,0.59312,0.32331,1.47562,1.19402,1.16904,0.008812,0.008812,0.008812
20,702.052,1.43097,1.2933,1.14044,0.62538,0.58246,0.5967,0.33093,1.43422,1.13117,1.15743,0.008746,0.008746,0.008746
21,735.474,1.42731,1.29232,1.14307,0.64568,0.53528,0.55434,0.30545,1.4574,1.15366,1.1526,0.00868,0.00868,0.00868
22,768.651,1.43461,1.28234,1.14275,0.51904,0.38798,0.38286,0.21023,1.5958,1.85987,1.25945,0.008614,0.008614,0.008614
23,802.209,1.4434,1.28713,1.14707,0.69775,0.4781,0.54338,0.28119,1.56995,1.29682,1.21497,0.008548,0.008548,0.008548
24,835.46,1.41397,1.25526,1.133,0.66208,0.51489,0.58181,0.31025,1.52198,1.22963,1.2107,0.008482,0.008482,0.008482
25,868.897,1.4313,1.2582,1.1399,0.71081,0.51068,0.57638,0.32739,1.43677,1.34103,1.14219,0.008416,0.008416,0.008416
26,902.542,1.41703,1.25092,1.13876,0.58097,0.44312,0.45887,0.2217,1.66168,1.53449,1.26085,0.00835,0.00835,0.00835
27,935.772,1.41656,1.24729,1.13559,0.67569,0.55076,0.59105,0.34279,1.39661,1.10735,1.15313,0.008284,0.008284,0.008284
28,969.302,1.41184,1.25079,1.13194,0.63811,0.56857,0.59979,0.343,1.44688,1.10749,1.17031,0.008218,0.008218,0.008218
29,1002.7,1.4289,1.24871,1.13919,0.72312,0.53369,0.58693,0.32753,1.49565,1.11904,1.18521,0.008152,0.008152,0.008152
30,1035.94,1.41365,1.24423,1.13178,0.71345,0.56966,0.6142,0.34728,1.45367,1.14708,1.17154,0.008086,0.008086,0.008086
31,1069.67,1.42343,1.2377,1.13654,0.6353,0.49485,0.46667,0.23242,1.65358,1.57251,1.25028,0.00802,0.00802,0.00802
32,1103.36,1.41852,1.23479,1.13287,0.67014,0.5419,0.59257,0.32586,1.48,1.07158,1.16747,0.007954,0.007954,0.007954
33,1136.63,1.40378,1.21255,1.13056,0.65646,0.6321,0.66564,0.38125,1.40622,1.01263,1.13539,0.007888,0.007888,0.007888
34,1170.08,1.4065,1.21305,1.13242,0.61626,0.59616,0.65055,0.37324,1.39499,1.01257,1.13282,0.007822,0.007822,0.007822
35,1203.46,1.41028,1.2133,1.13237,0.74536,0.52085,0.59352,0.32791,1.45719,1.07979,1.15663,0.007756,0.007756,0.007756
36,1236.73,1.40656,1.22011,1.13053,0.69025,0.60017,0.6423,0.37699,1.37206,1.05228,1.14318,0.00769,0.00769,0.00769
37,1269.94,1.39343,1.19627,1.12547,0.67617,0.56176,0.62676,0.34113,1.52133,1.09581,1.17739,0.007624,0.007624,0.007624
38,1303.46,1.40199,1.19911,1.13128,0.7325,0.63611,0.67059,0.37064,1.4335,0.96635,1.15133,0.007558,0.007558,0.007558
39,1336.74,1.39902,1.1899,1.12433,0.71395,0.65061,0.68019,0.38109,1.40519,0.94816,1.13338,0.007492,0.007492,0.007492
40,1370.4,1.39941,1.18623,1.12707,0.6704,0.62207,0.67193,0.39204,1.38858,0.96976,1.12937,0.007426,0.007426,0.007426
41,1403.67,1.39353,1.19182,1.12476,0.68801,0.67586,0.70848,0.40488,1.40294,0.93578,1.13338,0.00736,0.00736,0.00736
42,1437.31,1.39908,1.20043,1.12492,0.67403,0.61813,0.66101,0.37674,1.42068,1.01163,1.15173,0.007294,0.007294,0.007294
43,1470.67,1.39756,1.1885,1.12379,0.62347,0.60341,0.61978,0.33279,1.52135,1.08752,1.17681,0.007228,0.007228,0.007228
44,1504.23,1.3899,1.18909,1.12552,0.72398,0.62031,0.68229,0.38788,1.39598,1.01116,1.13606,0.007162,0.007162,0.007162
45,1537.6,1.39114,1.17813,1.12225,0.72447,0.56616,0.62281,0.35149,1.41472,1.10397,1.15305,0.007096,0.007096,0.007096
46,1571.34,1.4035,1.16831,1.12701,0.71967,0.63455,0.66958,0.37102,1.44832,0.99804,1.13529,0.00703,0.00703,0.00703
47,1604.4,1.39501,1.19048,1.12709,0.72444,0.63879,0.68107,0.39651,1.39256,0.95241,1.14412,0.006964,0.006964,0.006964
48,1637.72,1.38386,1.16229,1.12045,0.7359,0.64705,0.68573,0.38589,1.39471,0.96499,1.13361,0.006898,0.006898,0.006898
49,1671.13,1.38765,1.15927,1.12149,0.65736,0.61779,0.65836,0.36402,1.45601,0.98573,1.15109,0.006832,0.006832,0.006832
50,1704.53,1.38723,1.16751,1.12517,0.71411,0.59927,0.66183,0.38307,1.42633,1.03867,1.14703,0.006766,0.006766,0.006766
51,1737.84,1.3834,1.14169,1.11687,0.65851,0.68711,0.70722,0.39563,1.3768,0.96607,1.11848,0.0067,0.0067,0.0067
52,1771.41,1.38431,1.153,1.12171,0.67799,0.543,0.60064,0.34192,1.48433,1.18372,1.18173,0.006634,0.006634,0.006634
53,1804.73,1.3798,1.15223,1.11545,0.7344,0.6832,0.72837,0.42341,1.39583,0.88047,1.12596,0.006568,0.006568,0.006568
54,1837.96,1.37731,1.14596,1.11886,0.69534,0.66516,0.6851,0.38394,1.42343,0.96851,1.14204,0.006502,0.006502,0.006502
55,1871.48,1.38399,1.16324,1.12118,0.70277,0.65581,0.71083,0.40384,1.37956,0.92385,1.12032,0.006436,0.006436,0.006436
56,1904.76,1.36586,1.13535,1.1106,0.70936,0.62459,0.66986,0.39013,1.37535,0.91251,1.12637,0.00637,0.00637,0.00637
57,1938,1.37789,1.137,1.11663,0.76703,0.6513,0.69573,0.40091,1.38009,0.90972,1.13323,0.006304,0.006304,0.006304
58,1971.23,1.38235,1.13648,1.12114,0.79085,0.64359,0.72298,0.41975,1.39291,0.89524,1.13566,0.006238,0.006238,0.006238
59,2004.47,1.37138,1.13135,1.11705,0.73645,0.67924,0.72278,0.40827,1.4061,0.87517,1.12937,0.006172,0.006172,0.006172
60,2037.96,1.36772,1.11332,1.11234,0.69203,0.61752,0.66069,0.37164,1.43234,1.00829,1.14702,0.006106,0.006106,0.006106
